"","Neutrophil","group"
"TCGA-38-4626",4039,"High"
"TCGA-38-6178",7838,"High"
"TCGA-44-2661",5147,"High"
"TCGA-44-3396",8841,"High"
"TCGA-44-6774",4866,"High"
"TCGA-44-6778",3641,"High"
"TCGA-44-7667",7596,"High"
"TCGA-44-A4SS",1523,"High"
"TCGA-49-4505",13629,"High"
"TCGA-49-4506",110449,"High"
"TCGA-49-4510",9980,"High"
"TCGA-49-4514",12577,"High"
"TCGA-49-6742",18966,"High"
"TCGA-49-6743",33135,"High"
"TCGA-49-6744",3089,"High"
"TCGA-49-6745",25106,"High"
"TCGA-49-AAQV",7506,"High"
"TCGA-49-AAR0",7521,"High"
"TCGA-49-AAR2",2650,"High"
"TCGA-49-AAR3",1608,"High"
"TCGA-49-AARE",1499,"High"
"TCGA-49-AARO",3208,"High"
"TCGA-49-AARQ",1162,"High"
"TCGA-4B-A93V",4441,"High"
"TCGA-50-5045",1186,"High"
"TCGA-50-5066",8999,"High"
"TCGA-50-5068",6321,"High"
"TCGA-50-5931",7475,"High"
"TCGA-50-5942",3182,"High"
"TCGA-50-5946",11855,"High"
"TCGA-50-6593",1650,"High"
"TCGA-50-7109",2540,"High"
"TCGA-50-8457",1971,"High"
"TCGA-53-7624",6242,"High"
"TCGA-53-7626",3971,"High"
"TCGA-55-5899",1168,"High"
"TCGA-55-6642",1257,"High"
"TCGA-55-6971",1060,"High"
"TCGA-55-6979",1438,"High"
"TCGA-55-6980",1076,"High"
"TCGA-55-8091",1347,"High"
"TCGA-55-8203",1050,"High"
"TCGA-55-8208",13478,"High"
"TCGA-55-8507",9689,"High"
"TCGA-55-8508",1323,"High"
"TCGA-55-8614",1278,"High"
"TCGA-55-8615",9429,"High"
"TCGA-55-8619",3143,"High"
"TCGA-62-A46O",1052,"High"
"TCGA-62-A471",7307,"High"
"TCGA-62-A472",2045,"High"
"TCGA-64-1680",1886,"High"
"TCGA-78-8660",34232,"High"
"TCGA-83-5908",1747,"High"
"TCGA-86-7713",3465,"High"
"TCGA-86-8054",17421,"High"
"TCGA-86-8075",1099,"High"
"TCGA-86-8076",7714,"High"
"TCGA-86-8279",3833,"High"
"TCGA-86-8358",17439,"High"
"TCGA-86-8668",1594,"High"
"TCGA-86-8669",13413,"High"
"TCGA-86-8671",1077,"High"
"TCGA-86-8673",4043,"High"
"TCGA-86-8674",1532,"High"
"TCGA-86-A456",16777,"High"
"TCGA-86-A4JF",48509,"High"
"TCGA-86-A4P8",3578,"High"
"TCGA-91-A4BD",1243,"High"
"TCGA-93-7347",4295,"High"
"TCGA-93-A4JN",17415,"High"
"TCGA-93-A4JP",2890,"High"
"TCGA-95-7567",2426,"High"
"TCGA-95-7944",6015,"High"
"TCGA-95-7948",1552,"High"
"TCGA-95-A4VK",14423,"High"
"TCGA-95-A4VN",3244,"High"
"TCGA-97-7547",6007,"High"
"TCGA-97-7553",2253,"High"
"TCGA-97-7554",1872,"High"
"TCGA-97-7937",1164,"High"
"TCGA-97-8171",1903,"High"
"TCGA-97-8172",5635,"High"
"TCGA-97-8175",2022,"High"
"TCGA-97-8177",9165,"High"
"TCGA-97-A4M2",1899,"High"
"TCGA-97-A4M7",3337,"High"
"TCGA-99-8025",8243,"High"
"TCGA-99-8028",1039,"High"
"TCGA-J2-8192",1672,"High"
"TCGA-J2-8194",20305,"High"
"TCGA-L9-A5IP",1293,"High"
"TCGA-L9-A743",1031,"High"
"TCGA-L9-A7SV",4534,"High"
"TCGA-L9-A8F4",4145,"High"
"TCGA-MN-A4N1",7322,"High"
"TCGA-MN-A4N4",2163,"High"
"TCGA-MP-A4SY",5154,"High"
"TCGA-MP-A4T9",3199,"High"
"TCGA-MP-A4TD",3123,"High"
"TCGA-MP-A4TF",13373,"High"
"TCGA-MP-A4TH",1425,"High"
"TCGA-MP-A4TI",3845,"High"
"TCGA-MP-A5C7",1399,"High"
"TCGA-NJ-A4YF",17881,"High"
"TCGA-NJ-A4YQ",2384,"High"
"TCGA-NJ-A55R",1639,"High"
"TCGA-O1-A52J",5219,"High"
"TCGA-05-4249",0,"Low"
"TCGA-05-4382",3,"Low"
"TCGA-05-4398",14,"Low"
"TCGA-05-4405",3,"Low"
"TCGA-05-4417",1,"Low"
"TCGA-05-4420",7,"Low"
"TCGA-05-4427",4,"Low"
"TCGA-05-4430",3,"Low"
"TCGA-05-5428",5,"Low"
"TCGA-44-2655",48,"Low"
"TCGA-44-2657",477,"Low"
"TCGA-44-2659",181,"Low"
"TCGA-44-3398",82,"Low"
"TCGA-44-3917",774,"Low"
"TCGA-44-3919",408,"Low"
"TCGA-44-5643",685,"Low"
"TCGA-44-6145",491,"Low"
"TCGA-44-6148",531,"Low"
"TCGA-44-6776",242,"Low"
"TCGA-44-7659",223,"Low"
"TCGA-44-7660",423,"Low"
"TCGA-44-7661",0,"Low"
"TCGA-44-7670",457,"Low"
"TCGA-44-7671",45,"Low"
"TCGA-44-7672",822,"Low"
"TCGA-44-A479",379,"Low"
"TCGA-44-A47A",122,"Low"
"TCGA-50-5044",257,"Low"
"TCGA-50-5055",559,"Low"
"TCGA-50-6594",410,"Low"
"TCGA-55-1596",691,"Low"
"TCGA-55-6543",493,"Low"
"TCGA-55-6970",424,"Low"
"TCGA-55-6982",74,"Low"
"TCGA-55-6983",161,"Low"
"TCGA-55-6986",288,"Low"
"TCGA-55-6987",396,"Low"
"TCGA-55-7227",799,"Low"
"TCGA-55-7281",346,"Low"
"TCGA-55-7283",231,"Low"
"TCGA-55-7570",164,"Low"
"TCGA-55-7573",208,"Low"
"TCGA-55-7574",1023,"Low"
"TCGA-55-7576",305,"Low"
"TCGA-55-7724",6,"Low"
"TCGA-55-7725",129,"Low"
"TCGA-55-7726",246,"Low"
"TCGA-55-7728",111,"Low"
"TCGA-55-7815",585,"Low"
"TCGA-55-7903",716,"Low"
"TCGA-55-7907",117,"Low"
"TCGA-55-7994",947,"Low"
"TCGA-55-7995",60,"Low"
"TCGA-55-8085",350,"Low"
"TCGA-55-8087",438,"Low"
"TCGA-55-8090",223,"Low"
"TCGA-55-8092",226,"Low"
"TCGA-55-8094",535,"Low"
"TCGA-55-8096",621,"Low"
"TCGA-55-8097",254,"Low"
"TCGA-55-8204",106,"Low"
"TCGA-55-8205",456,"Low"
"TCGA-55-8206",75,"Low"
"TCGA-55-8207",6,"Low"
"TCGA-55-8301",168,"Low"
"TCGA-55-8302",87,"Low"
"TCGA-55-8505",16,"Low"
"TCGA-55-8510",211,"Low"
"TCGA-55-8513",96,"Low"
"TCGA-55-8514",254,"Low"
"TCGA-55-8621",378,"Low"
"TCGA-55-A48Y",922,"Low"
"TCGA-55-A48Z",596,"Low"
"TCGA-55-A491",300,"Low"
"TCGA-55-A492",87,"Low"
"TCGA-55-A494",233,"Low"
"TCGA-55-A4DF",464,"Low"
"TCGA-55-A4DG",147,"Low"
"TCGA-55-A57B",27,"Low"
"TCGA-62-A46P",130,"Low"
"TCGA-62-A46S",177,"Low"
"TCGA-62-A46V",6,"Low"
"TCGA-62-A470",719,"Low"
"TCGA-64-1676",691,"Low"
"TCGA-64-1678",732,"Low"
"TCGA-64-1679",464,"Low"
"TCGA-64-5774",399,"Low"
"TCGA-64-5778",361,"Low"
"TCGA-86-7701",5,"Low"
"TCGA-86-7711",14,"Low"
"TCGA-86-7953",220,"Low"
"TCGA-86-7955",20,"Low"
"TCGA-86-8073",207,"Low"
"TCGA-86-A4P7",123,"Low"
"TCGA-95-7947",215,"Low"
"TCGA-95-8039",7,"Low"
"TCGA-97-8179",241,"Low"
"TCGA-97-8552",12,"Low"
"TCGA-97-A4LX",912,"Low"
"TCGA-97-A4M0",242,"Low"
"TCGA-97-A4M1",801,"Low"
"TCGA-97-A4M5",751,"Low"
"TCGA-97-A4M6",475,"Low"
"TCGA-99-7458",1,"Low"
"TCGA-L4-A4E6",944,"Low"
"TCGA-L9-A50W",698,"Low"
"TCGA-MP-A4TA",40,"Low"
"TCGA-NJ-A4YG",508,"Low"
"TCGA-S2-AA1A",72,"Low"
